abr_ware_code,ware_label_nl,ware_uri,en_aliases,needs_review
,dikwandig,https://data.cultureelerfgoed.nl/term/id/abr/e2b817ab-ee0d-44ff-a918-b87b120b0e6c,,
,dolium aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/c4d3949e-30e5-4f91-a9da-840f0adcdf24,,
,"dolium aardewerk, Maasland",https://data.cultureelerfgoed.nl/term/id/abr/a2b460e7-8946-48dd-b241-483352a7c205,,
,"dolium aardewerk, Nijmeegs-Holdeurn/castra LXG",https://data.cultureelerfgoed.nl/term/id/abr/5c4970d6-368d-44c0-85f4-e5a297b0283b,,
,duisburg aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/46be796a-1f10-4f4c-9eb6-520d7cfc375e,,
,dunwandig aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/2c196477-10cf-4960-ae7b-92fb9f33f6c7,,
,"dunwandig aardewerk, egg shell",https://data.cultureelerfgoed.nl/term/id/abr/b5a66167-3d58-4852-801a-5e24a90af959,,
,"dunwandig aardewerk, geverfd",https://data.cultureelerfgoed.nl/term/id/abr/8eec741b-8c49-48f6-9c8e-da2b233b179e,,
,faience,https://data.cultureelerfgoed.nl/term/id/abr/6bacf1ec-1217-4cc8-92ca-77f938bd7e51,,
,faience uit Delft,https://data.cultureelerfgoed.nl/term/id/abr/c51373cd-3485-4036-9402-1e476ad462d8,,
,faience uit de Nederlanden,https://data.cultureelerfgoed.nl/term/id/abr/9c2398fd-891f-405e-9f2a-12955a2ca888,,
,faiencebiscuit,https://data.cultureelerfgoed.nl/term/id/abr/b0c25500-2d51-4b9e-8959-0c413c31bd1a,,
,gebronsd aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/5bd9de5e-b0bf-4c1c-85c1-74ebbb6e7096,,
,geglazuurd aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/f7c23e68-64bb-4caf-ad4b-6ece1af22872,,
,geverfd aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/4c8d265a-6d22-450a-9b17-0d61c505b7e6,,
,"geverfd aardewerk, African red slip ware",https://data.cultureelerfgoed.nl/term/id/abr/706f796c-80ad-409b-83d1-436955e6414f,,
